step,loss_4k,loss_8k,gap,lr,phase,elapsed_min,vram_gb
0,1.927502989768982,1.8888471603393555,-0.03865582942962642,0.0,1,0.0,47.3
50,1.9275012493133545,1.8888458251953124,-0.038655424118042125,3.0000000000000004e-07,1,1.6,64.1
100,1.928144931793213,1.8891280174255372,-0.03901691436767574,6.000000000000001e-07,1,3.2,64.1
150,1.929144024848938,1.8896236896514893,-0.039520335197448686,9.000000000000001e-07,1,4.8,64.1
200,1.9286039829254151,1.8893088340759276,-0.03929514884948748,1.25e-06,1,6.4,64.1
250,1.9286072731018067,1.8890967130661012,-0.03951056003570552,1.5500000000000002e-06,1,8.0,64.1
300,1.9275340795516969,1.8878053188323975,-0.039728760719299316,1.85e-06,1,9.6,64.1
350,1.9289819955825807,1.8894496202468871,-0.03953237533569354,2.15e-06,1,11.2,64.1
400,1.9282143831253051,1.8886247873306274,-0.03958959579467769,2.5e-06,1,12.8,64.1
450,1.92755868434906,1.8882555723190309,-0.03930311203002912,2.8000000000000003e-06,1,14.4,64.1
500,1.9274350166320802,1.8879246234893798,-0.03951039314270033,3.1000000000000004e-06,1,16.1,64.1
550,1.926856803894043,1.8875935792922973,-0.039263224601745694,3.4000000000000005e-06,1,17.7,64.1
600,1.9277889251708984,1.8887694597244262,-0.03901946544647217,3.7500000000000005e-06,1,19.3,64.1
650,1.9264376878738403,1.8871754169464112,-0.039262270927429066,4.05e-06,1,20.9,64.1
700,1.9258731365203858,1.8870700597763062,-0.03880307674407968,4.350000000000001e-06,1,22.5,64.1
750,1.9253124952316285,1.885925555229187,-0.039386940002441584,4.65e-06,1,24.1,64.1
800,1.9241411685943604,1.884732437133789,-0.039408731460571333,5e-06,1,25.7,64.1
850,1.9255128383636475,1.8857386827468872,-0.03977415561676034,5.300000000000001e-06,1,27.3,64.1
900,1.9237505197525024,1.883766269683838,-0.03998425006866446,5.600000000000001e-06,1,28.9,64.1
950,1.9243714094161988,1.8839604139328003,-0.04041099548339844,5.9e-06,1,30.5,64.1
1000,1.922711730003357,1.8827895879745484,-0.039922142028808505,6.25e-06,1,32.3,64.1
1050,1.9236953735351563,1.8831422090530396,-0.040553164482116655,6.550000000000001e-06,1,33.9,64.1
1100,1.9211298942565918,1.880903387069702,-0.04022650718688969,6.850000000000001e-06,1,35.5,64.1
1150,1.921337628364563,1.880886483192444,-0.04045114517211901,7.15e-06,1,37.1,64.1
1200,1.9206150770187378,1.878818941116333,-0.04179613590240483,7.500000000000001e-06,1,38.7,64.1
1250,1.9179730892181397,1.8775486469268798,-0.040424442291259854,7.800000000000002e-06,1,40.2,64.1
1300,1.9173803567886352,1.8762242794036865,-0.04115607738494864,8.1e-06,1,41.8,64.1
1350,1.9173641920089721,1.8766018629074097,-0.04076232910156241,8.400000000000001e-06,1,43.4,64.1
1400,1.9152109622955322,1.874703288078308,-0.04050767421722412,8.750000000000001e-06,1,45.0,64.1
1450,1.9159993410110474,1.8746615171432495,-0.04133782386779794,9.050000000000001e-06,1,46.6,64.1
1500,1.9133405923843383,1.8731600761413574,-0.04018051624298091,9.350000000000002e-06,1,48.4,64.1
1550,1.9138378858566285,1.8721577405929566,-0.04168014526367192,9.65e-06,1,50.0,64.1
1600,1.9139036655426025,1.8720285177230835,-0.041875147819518954,1e-05,1,51.5,64.1
1650,1.9121129035949707,1.8711081504821778,-0.041004753112792836,9.999991213547314e-06,1,53.1,64.1
1700,1.9113001346588134,1.8698525905609131,-0.0414475440979003,9.999964854221756e-06,1,54.7,64.1
1750,1.9101170301437378,1.8690080642700195,-0.04110896587371826,9.999920922120846e-06,1,56.3,64.1
1800,1.9082679748535156,1.8672387838363647,-0.04102919101715097,9.99984745818805e-06,1,57.9,64.1
1850,1.9080547571182251,1.8662570476531983,-0.04179770946502681,9.999765452384843e-06,1,59.5,64.1
1900,1.9072765588760376,1.8656283855438232,-0.04164817333221449,9.999665874543984e-06,1,61.1,64.1
1950,1.9066348314285277,1.86456401348114,-0.04207081794738765,9.999548725033865e-06,1,62.7,64.1
2000,1.905899953842163,1.8642133474349976,-0.04168660640716548,5e-06,2,64.4,64.1
2050,1.9046425104141236,1.863102388381958,-0.041540122032165616,4.999984011259806e-06,2,66.0,64.1
2100,1.9054786920547486,1.8633883953094483,-0.04209029674530029,4.9999360452664626e-06,2,67.6,64.1
2150,1.9046220302581787,1.8625371694564818,-0.04208486080169682,4.999856102701668e-06,2,69.2,64.1
2200,1.9041115522384644,1.8623123645782471,-0.041799187660217285,4.999722423083736e-06,2,70.8,64.1
2250,1.9037423372268676,1.8623698472976684,-0.041372489929199174,4.999573202451405e-06,2,72.4,64.1
2300,1.9050023078918457,1.863165593147278,-0.04183671474456774,4.999392010404426e-06,2,74.0,64.1
2350,1.9059626579284668,1.863584852218628,-0.042377805709838734,4.999178849517936e-06,2,75.6,64.1
2400,1.9040560245513916,1.862432312965393,-0.041623711585998535,4.9988897608228966e-06,2,77.2,64.1
2450,1.9053828239440918,1.8631330966949462,-0.04224972724914555,4.998607345116386e-06,2,78.8,64.1
2500,1.904293417930603,1.8622810125350953,-0.04201240539550777,4.998292971722197e-06,2,80.6,64.1
2550,1.902433156967163,1.8615777730941772,-0.04085538387298593,4.9979466451082726e-06,2,82.2,64.1
2600,1.9041942596435546,1.862723445892334,-0.041470813751220525,4.997502218664433e-06,2,83.8,64.1
2650,1.9056379795074463,1.8629868745803833,-0.04265110492706303,4.997086677565593e-06,2,85.4,64.1
2700,1.903671884536743,1.862032699584961,-0.04163918495178209,4.996639200391126e-06,2,87.0,64.1
2750,1.9047816038131713,1.861916732788086,-0.042864871025085405,4.996159793500676e-06,2,88.6,64.1
2800,1.9036693334579469,1.8617297887802124,-0.04193954467773442,4.995560138963612e-06,2,90.2,64.1
2850,1.9017827749252318,1.8598329782485963,-0.041949796676635565,4.99501157500099e-06,2,91.8,64.1
2900,1.9024268627166747,1.86093111038208,-0.04149575233459468,4.9944311044545435e-06,2,93.4,64.1
2950,1.9034480810165406,1.8611448526382446,-0.04230322837829603,4.993818735574042e-06,2,95.0,64.1
3000,1.9062237739562988,1.8637601375579833,-0.04246363639831552,4.993064000899538e-06,2,96.7,64.1
3050,1.9049408435821533,1.8621084451675416,-0.04283239841461173,4.992382549423085e-06,2,98.3,64.1
3100,1.9032353162765503,1.8615110158920287,-0.04172430038452157,4.991669228727079e-06,2,99.9,64.1
3150,1.9033938884735107,1.8616357803344727,-0.04175810813903791,4.990924048949387e-06,2,101.5,64.1
3200,1.9027887344360352,1.8611972093582154,-0.041591525077819824,4.99001442035693e-06,2,103.1,64.1
3250,1.9022167205810547,1.8598239421844482,-0.04239277839660649,4.9892002495046e-06,2,104.7,64.1
3300,1.9029271602630615,1.8600802421569824,-0.0428469181060791,4.988354254660243e-06,2,106.3,64.1
3350,1.9035605192184448,1.8610786199569702,-0.04248189926147461,4.987476447847319e-06,2,107.9,64.1
3400,1.9019405126571656,1.8604921102523804,-0.0414484024047852,4.986412149774155e-06,2,109.5,64.1
3450,1.9029803037643434,1.8605347633361817,-0.04244554042816162,4.985465460430423e-06,2,111.1,64.1
3500,1.902878427505493,1.8602849245071411,-0.04259350299835196,4.984487000174284e-06,2,112.8,64.1
3550,1.901947522163391,1.8600806951522828,-0.04186682701110822,4.983476782911824e-06,2,114.4,64.1
3600,1.9023627042770386,1.8603045463562011,-0.04205815792083745,4.982258077957576e-06,2,116.0,64.1
3650,1.9018311738967895,1.8600369930267333,-0.04179418087005615,4.981179103703872e-06,2,117.6,64.1
3700,1.9030752420425414,1.8602749586105347,-0.0428002834320067,4.980068419456379e-06,2,119.2,64.1
3750,1.9023255109786987,1.8598804950714112,-0.04244501590728755,4.978926041000376e-06,2,120.8,64.1
3800,1.90202898979187,1.860172486305237,-0.04185650348663317,4.977553229862255e-06,2,122.4,64.1
3850,1.9013968229293823,1.8592567920684815,-0.04214003086090079,4.976342236919332e-06,2,124.0,64.1
3900,1.9013720273971557,1.8592984676361084,-0.04207355976104732,4.975099602725202e-06,2,125.6,64.1
3950,1.9023970127105714,1.8600782394409179,-0.0423187732696535,4.973825344940447e-06,2,127.2,64.1
4000,1.9015138149261475,1.8595953941345216,-0.04191842079162589,4.97229876633906e-06,2,128.9,64.1
4050,1.9016152620315552,1.85966215133667,-0.041953110694885165,4.9709560535013055e-06,2,130.5,64.1
4100,1.900715208053589,1.8586472988128662,-0.04206790924072279,4.9695817759619324e-06,2,132.1,64.1
4150,1.901285171508789,1.8594138860702514,-0.041871285438537686,4.968175953252468e-06,2,133.7,64.1
4200,1.902773380279541,1.8603939294815064,-0.042379450798034624,4.966495983848242e-06,2,135.3,64.1
4250,1.9005914688110352,1.8585641622543334,-0.04202730655670184,4.9650218824099575e-06,2,136.9,64.1
4300,1.901100754737854,1.8591238260269165,-0.0419769287109375,4.96351630060776e-06,2,138.5,64.1
4350,1.9024897813796997,1.8598466157913207,-0.042643165588378995,4.961979259839302e-06,2,140.1,64.1
4400,1.9017898797988892,1.859785270690918,-0.042004609107971325,4.96014631413955e-06,2,141.7,64.1
4450,1.9032861709594726,1.8603678464889526,-0.04291832447052002,4.958541187813207e-06,2,143.3,64.1
4500,1.9008131265640258,1.8593444585800172,-0.04146866798400861,4.956904673227968e-06,2,145.0,64.1
4550,1.901087260246277,1.8593048572540283,-0.04178240299224867,4.9552367936423275e-06,2,146.6,64.1
4600,1.9012085914611816,1.8595062971115113,-0.04170229434967032,4.953251323898973e-06,2,148.2,64.1
4650,1.900614047050476,1.8587240695953369,-0.041889977455139116,4.951515568725477e-06,2,149.8,64.1
4700,1.902151608467102,1.859240436553955,-0.04291117191314697,4.949748525142681e-06,2,151.4,64.1
4750,1.9023279905319215,1.8596518993377686,-0.04267609119415283,4.947950218264188e-06,2,153.0,64.1
4800,1.902427887916565,1.8592323303222655,-0.043195557594299494,4.945812714362182e-06,2,154.6,64.1
4850,1.9002771615982055,1.8583927392959594,-0.041884422302246094,4.943946758613147e-06,2,156.2,64.1
4900,1.9008347988128662,1.8583335876464844,-0.042501211166381836,4.942049622024357e-06,2,157.8,64.1
4950,1.900234866142273,1.857879114151001,-0.04235575199127206,4.940121331558326e-06,2,159.4,64.1
5000,1.9007308721542358,1.8585083961486817,-0.042222476005554066,4.9378323208947725e-06,2,161.1,64.1
5050,1.9015163898468017,1.859706425666809,-0.04180996417999272,4.935836624966859e-06,2,162.7,64.1
5100,1.900225329399109,1.8586054563522338,-0.04161987304687509,4.933809863462142e-06,2,164.3,64.1
5150,1.901701521873474,1.8590327739715575,-0.04266874790191655,4.931752065185393e-06,2,165.9,64.1
5200,1.9004941701889038,1.8586750030517578,-0.04181916713714595,4.9293121125394205e-06,2,167.5,64.1
5250,1.9013286352157592,1.858940100669861,-0.042388534545898304,4.927187168840736e-06,2,169.1,64.1
5300,1.9009765625,1.8589137315750122,-0.04206283092498775,4.925031282493166e-06,2,170.7,64.1
5350,1.9008492708206177,1.8590599060058595,-0.041789364814758256,4.92284448413663e-06,2,172.3,64.1
5400,1.9002151250839234,1.857751226425171,-0.04246389865875244,4.920254191530046e-06,2,173.9,64.1
5450,1.899919366836548,1.8582594871520997,-0.04165987968444829,4.918000524358652e-06,2,175.5,64.1
5500,1.89980947971344,1.857633900642395,-0.042175579071044966,4.915716045100928e-06,2,177.2,64.1
5550,1.9001580715179442,1.8582871198654174,-0.041870951652526855,4.9134007862243785e-06,2,178.8,64.1
5600,1.9007863759994508,1.8588396787643433,-0.041946697235107466,4.910660792773122e-06,2,180.4,64.1
5650,1.9007408380508424,1.8580986261367798,-0.04264221191406259,4.908278958187673e-06,2,182.0,64.1
5700,1.9001938104629517,1.8582972049713136,-0.041896605491638095,4.905866449680864e-06,2,183.6,64.1
5750,1.9003625392913819,1.858376955986023,-0.04198558330535884,4.903423301539786e-06,2,185.2,64.1
5800,1.9004584074020385,1.8584033012390138,-0.04205510616302477,4.900534283296243e-06,2,186.8,64.1
5850,1.9002774000167846,1.8578654050827026,-0.04241199493408199,4.89802486897878e-06,2,188.4,64.1
5900,1.9008654832839966,1.8584799289703369,-0.04238555431365976,4.895484926473266e-06,2,190.0,64.1
5950,1.9015147686004639,1.8589670181274414,-0.042547750473022505,4.8929144918779026e-06,2,191.6,64.1
6000,1.9005585193634034,1.8587432146072387,-0.041815304756164684,4.889877161664096e-06,2,193.4,64.1
6050,1.9008501768112183,1.8590705394744873,-0.04177963733673096,4.8872407867750545e-06,2,195.0,64.1
6100,1.9003268003463745,1.8575560808181764,-0.04277071952819811,4.884574036963639e-06,2,196.6,64.1
6150,1.9003078937530518,1.8581019401550294,-0.04220595359802237,4.881876950130266e-06,2,198.2,64.1
6200,1.89915874004364,1.857602095603943,-0.04155664443969709,4.878692057361977e-06,2,199.8,64.1
6250,1.900359606742859,1.858157205581665,-0.04220240116119389,4.875929372387411e-06,2,201.4,64.1
6300,1.9001783370971679,1.8582982540130615,-0.0418800830841064,4.873136473250708e-06,2,203.0,64.1
6350,1.8998761177062988,1.8572839498519897,-0.04259216785430908,4.870313399645146e-06,2,204.6,64.1
6400,1.8994328022003173,1.858107089996338,-0.0413257122039794,4.866981730147008e-06,2,206.2,64.1
6450,1.9009232997894288,1.8586525440216064,-0.042270755767822354,4.864093416738096e-06,2,207.8,64.1
6500,1.8995197296142579,1.8570327758789062,-0.04248695373535161,4.861175057382175e-06,2,209.5,64.1
6550,1.8991710662841796,1.8570322513580322,-0.04213881492614746,4.858226693555592e-06,2,211.1,64.1
6600,1.899504041671753,1.8572278261184691,-0.04227621555328387,4.854749069367203e-06,2,212.7,64.1
6650,1.8988816022872925,1.8568533420562745,-0.04202826023101802,4.8517358401720596e-06,2,214.3,64.1
6700,1.899110531806946,1.857248592376709,-0.04186193943023686,4.848692740658424e-06,2,215.9,64.1
6750,1.8986964225769043,1.856868028640747,-0.04182839393615723,4.845619814075477e-06,2,217.5,64.1
6800,1.8995341062545776,1.857280158996582,-0.042253947257995694,4.841997093248566e-06,2,219.1,64.1
6850,1.8991400241851806,1.8574254512786865,-0.04171457290649405,4.838859691736409e-06,2,220.7,64.1
6900,1.8990545511245727,1.8572891712188722,-0.041765379905700506,4.835692602904329e-06,2,222.3,64.1
6950,1.900301456451416,1.8577916860580443,-0.04250977039337167,4.832495871763672e-06,2,223.9,64.1
7000,1.8984147787094117,1.8564611673355103,-0.04195361137390141,1e-06,3,225.6,64.1
7050,1.8999294996261598,1.857544469833374,-0.04238502979278569,9.999950652140342e-07,3,225.8,64.2
7100,1.899954080581665,1.857543420791626,-0.04241065979003911,9.99980261050954e-07,3,226.1,64.2
7150,1.89852774143219,1.8566937446594238,-0.04183399677276611,9.999555880952023e-07,3,226.4,64.2
7200,1.8994553804397583,1.8576000452041626,-0.0418553352355957,9.999143312438893e-07,3,226.6,64.2
7250,1.8993365049362183,1.8571295261383056,-0.042206978797912686,9.99868279765252e-07,3,226.9,64.2
7300,1.8985681772232055,1.8565305948257447,-0.042037582397460804,9.99812363914773e-07,3,227.1,64.2
7350,1.9000495672225952,1.858168864250183,-0.0418807029724122,9.997465858999135e-07,3,227.4,64.2
7400,1.8989863395690918,1.8571040153503418,-0.041882324218750044,9.996573836886433e-07,3,227.6,64.2
7450,1.8994391679763794,1.8576983213424683,-0.04174084663391109,9.99570247078718e-07,3,227.9,64.2
7500,1.8992218494415283,1.8571672439575195,-0.042054605484008745,9.994732578627704e-07,3,228.3,64.2
7550,1.8994170665740966,1.857369637489319,-0.042047429084777654,9.993664198697694e-07,3,228.5,64.2
7600,1.900026273727417,1.85813364982605,-0.041892623901367054,9.99229333433282e-07,3,228.8,64.2
7650,1.899527406692505,1.857153582572937,-0.042373824119567916,9.99101171411148e-07,3,229.0,64.2
7700,1.8989684343338014,1.857206606864929,-0.04176182746887225,9.989631753012964e-07,3,229.3,64.2
7750,1.898766827583313,1.8566614627838134,-0.042105364799499556,9.988153505515771e-07,3,229.6,64.2
7800,1.899599051475525,1.8576802492141724,-0.041918802261352583,9.986304738420682e-07,3,229.8,64.2
7850,1.9003332614898683,1.8580710887908936,-0.0422621726989747,9.984613742435742e-07,3,230.1,64.2
7900,1.8984647750854493,1.8566809177398682,-0.0417838573455811,9.982824658154588e-07,3,230.3,64.2
7950,1.8994771480560302,1.8577725887298584,-0.041704559326171786,9.980937556207207e-07,3,230.6,64.2
8000,1.899949049949646,1.8573734283447265,-0.04257562160491957,9.978612153434526e-07,3,230.9,64.2
8050,1.8991475582122803,1.8567849159240724,-0.04236264228820796,9.976512940610161e-07,3,231.2,64.2
8100,1.899149775505066,1.8568315505981445,-0.04231822490692139,9.974315959295373e-07,3,231.4,64.2
8150,1.8987675189971924,1.8568771839141847,-0.04189033508300777,9.972021296223216e-07,3,231.7,64.2
8200,1.8978608846664429,1.8564067840576173,-0.041454100608825595,9.969220851487844e-07,3,231.9,64.2
8250,1.8993615865707398,1.8570567131042481,-0.0423048734664917,9.96671486051967e-07,3,232.2,64.2
8300,1.8982670783996582,1.8566923141479492,-0.04157476425170903,9.964111487872495e-07,3,232.5,64.2
8350,1.8993797540664672,1.8573315382003783,-0.04204821586608887,9.961410836323013e-07,3,232.7,64.2
8400,1.9000581741333007,1.8576801776885987,-0.04237799644470197,9.958137268909885e-07,3,233.0,64.2
8450,1.89944007396698,1.85722918510437,-0.04221088886260982,9.955226217278934e-07,3,233.2,64.2
8500,1.8992056369781494,1.8571285486221314,-0.04207708835601798,9.952218237520946e-07,3,233.6,64.2
8550,1.8999988079071044,1.8573373079299926,-0.04266149997711177,9.949113448385809e-07,3,233.8,64.2
8600,1.8993220329284668,1.8570101737976075,-0.04231185913085933,9.945369001834514e-07,3,234.1,64.2
8650,1.898600959777832,1.8563514709472657,-0.04224948883056623,9.942054884630163e-07,3,234.3,64.2
8700,1.8991408348083496,1.856375789642334,-0.042765045166015536,9.938644359280432e-07,3,234.6,64.2
8750,1.898545503616333,1.8566410064697265,-0.04190449714660649,9.935137560427028e-07,3,234.8,64.2
8800,1.899960470199585,1.8573690891265868,-0.04259138107299809,9.930924800994191e-07,3,235.1,64.2
8850,1.8994399547576903,1.8576489686965942,-0.0417909860610961,9.927209889546827e-07,3,235.3,64.2
8900,1.9000363111495973,1.8571093797683715,-0.04292693138122572,9.923399156009073e-07,3,235.6,64.2
8950,1.8991674900054931,1.8570051193237305,-0.04216237068176265,9.919492750822163e-07,3,235.8,64.2
9000,1.899517798423767,1.8574368715286256,-0.042080926895141424,9.91481456572267e-07,3,236.2,64.2
9050,1.8989174365997314,1.8576192378997802,-0.041298198699951216,9.910701406047036e-07,3,236.5,64.2
9100,1.8989089012145997,1.856607723236084,-0.042301177978515625,9.906493076007674e-07,3,236.7,64.2
9150,1.8992802143096923,1.8567827224731446,-0.04249749183654772,9.902189741742246e-07,3,237.0,64.2
9200,1.8989849805831909,1.857162356376648,-0.041822624206542924,9.897049337170481e-07,3,237.2,64.2
9250,1.899695086479187,1.8569947957992554,-0.04270029067993164,9.892540748220764e-07,3,237.5,64.2
9300,1.899202537536621,1.8569026470184327,-0.04229989051818839,9.88793770585899e-07,3,237.7,64.2
9350,1.899260115623474,1.8568074703216553,-0.0424526453018188,9.883240391805393e-07,3,238.0,64.2
9400,1.8979871988296508,1.8567663192749024,-0.0412208795547484,9.877641290737883e-07,3,238.2,64.2
9450,1.8998144626617433,1.8574605226516723,-0.04235394001007098,9.872740362475737e-07,3,238.5,64.2
9500,1.8987656354904174,1.856789469718933,-0.04197616577148433,9.86774576248686e-07,3,238.8,64.2
9550,1.8991469383239745,1.8576156616210937,-0.041531276702880815,9.862657687949511e-07,3,239.1,64.2
9600,1.8993740558624268,1.8578868627548217,-0.04148719310760507,9.856603727730446e-07,3,239.3,64.2
9650,1.8998568534851075,1.85743567943573,-0.0424211740493774,9.851313819007295e-07,3,239.6,64.2
9700,1.9004780530929566,1.85798237323761,-0.042495679855346635,9.845931084440662e-07,3,239.8,64.2
9750,1.8993401765823363,1.8572134971618652,-0.0421266794204711,9.840455736531694e-07,3,240.1,64.2
9800,1.8991159200668335,1.8572005033493042,-0.0419154167175293,9.833951066243004e-07,3,240.3,64.2
9850,1.8997347354888916,1.857422161102295,-0.042312574386596635,9.82827580249805e-07,3,240.6,64.2
9900,1.898827075958252,1.8570193529129029,-0.04180772304534908,9.822508622411062e-07,3,240.8,64.2
9950,1.8994843006134032,1.8574910163879395,-0.04199328422546378,9.81664975366043e-07,3,241.0,64.2
